epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,291.152,1.63647,2.29745,1.62794,0.49479,0.44091,0.41241,0.18688,1.17252,14.0324,1.11117,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,567.424,1.64544,1.8663,1.60037,0.43782,0.41142,0.37081,0.1579,1.23311,21.7715,1.15052,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097
3,833.689,1.75688,2.06392,1.71211,0.37217,0.36216,0.29028,0.11574,1.32378,19.4836,1.23247,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1096.05,1.79783,2.1183,1.74068,0.36992,0.34743,0.28808,0.12087,1.34228,19.2261,1.33133,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1358.83,1.73891,1.99227,1.70687,0.48509,0.45726,0.43959,0.19666,1.20814,15.441,1.16445,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1620.53,1.67464,1.88886,1.66238,0.51623,0.50127,0.48167,0.22619,1.13255,9.59519,1.0981,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1882.84,1.63269,1.79371,1.64068,0.56083,0.46892,0.48579,0.22847,1.13471,7.26576,1.10465,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2145.32,1.60768,1.7079,1.60993,0.57523,0.54562,0.56019,0.27559,1.08067,8.6749,1.0503,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2407.41,1.57941,1.66586,1.58897,0.59956,0.53773,0.57934,0.28145,1.09606,8.50287,1.05487,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2670.07,1.56155,1.65167,1.56759,0.62881,0.54955,0.58781,0.29055,1.0772,5.23296,1.03044,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2932.66,1.53795,1.57665,1.55231,0.64391,0.58688,0.61826,0.3151,1.0765,10.127,1.04519,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3194.88,1.52109,1.56452,1.54367,0.66138,0.58276,0.63794,0.33209,1.02542,5.76383,1.01033,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3457.23,1.5037,1.49687,1.52532,0.6884,0.59268,0.65472,0.34297,1.01136,5.50392,1.00293,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3719.76,1.48768,1.46931,1.52056,0.69094,0.60356,0.66322,0.34831,1.02391,4.795,0.99875,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3982.04,1.47496,1.4562,1.50657,0.69096,0.60229,0.67185,0.36015,0.99413,5.09295,0.97576,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4244.17,1.46916,1.42654,1.49648,0.67734,0.60315,0.66449,0.35541,1.00622,2.98479,0.97953,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4506.91,1.45383,1.39661,1.48495,0.68046,0.62508,0.6759,0.36183,1.00396,4.47378,0.98209,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4768.54,1.44,1.38202,1.47449,0.69393,0.62789,0.68977,0.37453,0.99614,3.97155,0.96807,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5030.84,1.43447,1.37197,1.4753,0.66558,0.65591,0.69212,0.37418,0.98839,4.3885,0.96582,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5292.54,1.42241,1.3447,1.46651,0.70128,0.64759,0.70935,0.38831,0.96747,4.1866,0.95209,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
